"Entry ID","Lemma ID","Batch","List","Item","English Word Frequency","Frequency","Frequency SD","Frequency Z","Frequency N","Frequency (Native)","Frequency Sd (Native)","Frequency Z (Native)","Frequency N (Native)","Frequency (Nonnative)","Frequency SD (Nonnative)","Frequency N (Nonnative)","Frequency Z (Nonnative)","Dominant English Translation","Sign Unknown (%)","English Translation Agreement (%)","Unknown To Participant (%) (Native)","English Name Agreement (%) (Native)","Unknown To Participant (%) (Nonnative)","English Name Agreement (%) (Nonnative)","Non-Signer Iconicity","Non-Signer Iconicity SD","Non-Signer Iconicity Z","Non-Signer Iconicity N","Non-Signer Iconicity SD","Iconicity Type","Deaf Signer Iconicity","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity N","Deaf Signer Iconicity Z","Deaf Signer Iconicity (Native)","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity Z (Native)","Deaf Signer Iconicity N (Native)","English Translation Agreement","Guess accuracy","Transparency","Transparency SD","Transparency Z","Lexical Class","Sign Onset (ms)","Sign Offset (ms)","Duration (ms)","Video Length (ms)","In CDI","CDI Semantic Category","Initialized Sign","Fingerspelled Loan Sign","Compound","Number Of Morphemes","Handshape","Selected Fingers","Flexion","Flexion Change","Spread Change","Thumb Position","Thumb Contact","Sign Type","Path Movement","Repeated Movement","Major Location","Minor Location","Second Minor Location","Contact","Nondominant Handshape","Wrist Twist","Handshape M2","Selected Fingers M2","Flexion M2","Flexion Change M2","Spread M2","Spread Change M2","Thumb Position M2","Thumb Contact M2","Sign Type M2","Movement M2","Repeated Movement M2","Major Location M2","Minor Location M2","Second Minor Location M2","Contact M2","Nondominant Handshape M2","Wrist Twist M2","Handshape M3","Selected Fingers M3","Flexion M3","Flexion Change M3","Spread M3","Spread Change M3","Thumb Position M3","Thumb Contact M3","Signtype M3","Movement M3","Repeated Movement M3","Major Location M3","Minor Location M3","Second Minor Location M3","Contact M3","Nondominant Handshape M3","Wrist Twist M3","Handshape M4","Selected Fingers M4","Flexion M4","Flexion Change M4","Spread M4","Spread Change M4","Thumb Position M4","Thumb Contact M4","Sign Type M4","Movement M4","Repeated Movement M4","Major Location M4","Minor Location M4","Second Minor Location M4","Contact M4","Nondominant Handshape M4","Wrist Twist M4","Handshape M5","Selected Fingers M5","Flexion M5","Flexion Change M5","Spread M5","Spread Change M5","Thumb Position M5","Thumb Contact M5","Signtype M5","Movement M5","Repeated Movement M5","Major Location M5","Minor Location M5","Second Minor Location M5","Contact M5","Nondominant Handshape M5","Wrist Twist M5","Handshape M6","Selected Fingers M6","Flexion M6","Flexion Change M6","Spread M6","Spread Change M6","Thumb Position M6","Thumb Contact M6","Sign Type M6","Movement M6","Repeated Movement M6","Major Location M6","Minor Location M6","Second Minor Location M6","Contact M6","Nondominant Handshape M6","Wrist Twist M6","Sign Type Frequency","Major Location Frequency","Minor Location Frequency","Second Minor Location Frequency","Movement Frequency","Selected Fingers Frequency","Flexion Frequency","Flexion Change Frequency","Repeated Movement Frequency","Contact Frequency","Spread Frequency","Spread Change Frequency","Thumb Contact Frequency","Thumb Position Frequency","Ulnar Rotatio Nfrequency","Phonotactic Probability","Parameter Neighborhood Density","Neighborhood Density","SignBank Reference ID","Age Of Acquisition","Age Of Acquisition (Empirical)"
"drown_3","drown_3","K","null","null","2.733","3.333","1.857","-0.487","25","2.636","1.629","-0.527","11","3.923","1.891","14","-0.453","null","0.04","null","null","null","0.071","null","3.167","1.465","-0.192","24","DROWN","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","734","1502","767","2102","No","null","null","null","null","1","a","t","null","null","null","Open","null","Asymmetrical Different Handshape","Straight","null","Hand","Other","Hand Away","1","C","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.025","0.155","0.457","0.057","null","null","0.554","0.622","null","null","null","0.657","0.836","-0.569","414","null","2576","null","null"
"drown_4","drown_4","K","null","null","2.733","4.2","1.893","0.014","25","3.909","1.7","0.038","11","4.429","2.065","14","-0.005","null","null","null","null","null","null","null","3.2","1.871","-0.293","25","DROWN","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","601","1568","968","2202","No","null","null","null","null","1","1","i","Fully Open","null","null","Closed","null","Asymmetrical Different Handshape","Z-shaped","null","Hand","Other","Hand Away","1","5","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.025","0.155","0.034","0.261","0.409","0.791","0.554","0.622","null","null","0.684","0.343","0.836","-0.208","93","1","null","null","null"
"drown_5","drown_5","K","null","null","2.733","2","1.543","-1.092","27","1.571","0.787","-0.983","11","2.2","1.781","16","-1.143","null","0.185","null","0.364","null","0.063","null","3.24","1.855","-0.135","25","DROWN","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","601","1668","1068","2336","No","null","null","null","null","1","curved_5","imrp","Curved","null","null","Open","null","Asymmetrical Different Handshape","Straight","null","Hand","Finger Radial","Hand Away","1","5","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.035","0.155","0.457","0.449","0.225","0.791","0.554","0.622","0.398","0.878","0.684","0.657","0.836","0.344","414","null","null","null","null"
"drug","drug","F","1","40","3.363","3.417","1.932","-0.428","27","3.5","2.023","-0.471","14","3.333","1.923","13","-0.384","null","0.111","null","0.143","null","0.077","null","3","1.92","-0.386","33","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","467","1435","968","1969","No","null","null","null","null","1","s","imrp","Fully Closed","null","null","Closed","1","One Handed","Straight","1","Arm","Forearm Front","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.026","0.001","null","0.457","0.449","0.067","0.791","0.446","0.622","null","0.878","0.316","0.343","0.836","-0.33","112","3","null","null","null"
"drum","drum","A","3","75","2.636","2","1.291","-1.058","25","1.733","1.033","-1.15","15","2.4","1.578","10","-0.92","null","null","null","null","null","null","null","6.048","0.973","1.152","21","null","null","5.48","1.57","31","1.11","5.9","1.41","1.34","19","null","null","null","null","null","Noun","567","1268","701","2302","No","null","null","null","null","1","baby_o","i","Bent","null","null","Open","1","Symmetrical Or Alternating","Curved","1","Neutral","Neutral","Neutral","null","baby_o","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.233","0.261","0.099","0.791","0.446","0.378","null","null","0.316","0.657","0.836","-0.084","290","10","1281","null","null"
"drunk","drunk","C","3","77","3.592","3.967","1.671","-0.192","30","4.333","1.715","-0.106","18","3.417","1.505","12","-0.321","null","null","null","null","null","null","null","1.639","1.099","-0.645","36","null","Arbitrary","2.4","1.52","30","-0.25","2.62","1.66","-0.17","21","2.25","null","3.25","1.74","-0.24","Adjective","501","968","467","1902","No","null","null","null","null","1","a","t","null","null","null","Open","null","One Handed","Curved","null","Head","Head Away","Head Away","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.066","0.178","0.233","0.057","null","null","0.554","0.378","null","null","null","0.657","0.836","-0.632","173","1","2750","null","null"
"dry","dry","F","3","5","3.339","5.593","1.248","0.735","27","5.786","1.188","0.823","14","5.385","1.325","13","0.64","null","null","null","null","null","null","null","1.875","1.641","-0.96","32","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Adjective","534","1235","701","1768","Yes","Descriptive Signs","null","null","null","1","1","i","Fully Open","1","null","Closed","null","One Handed","Straight","null","Head","Chin","Head Away","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.037","0.178","0.457","0.261","0.409","0.209","0.554","0.622","null","null","0.684","0.343","0.836","-0.012","469","5","122","33","28"
"dryer","dryer","C","1","7","2.365","3.333","1.788","-0.777","30","3.611","1.883","-0.569","18","2.917","1.621","12","-1.089","dryer","null","1","null","1","null","1","3.4","1.589","0.249","30","null","Arbitrary","2.63","1.38","30","-0.16","2.76","1.38","-0.16","21","2.27","null","3.55","1.36","0.05","Noun","434","1668","1235","2436","No","Furniture and Rooms","null","null","1","2","1","i","Fully Open","1","null","Closed","null","One Handed","Straight","null","Head","Chin","Head Away","1","null","null","1","i","FullyOpen","null","null","null","Closed","null","One Handed","Circular","null","Neutral","Neutral","Neutral","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.037","0.178","0.457","0.261","0.409","0.209","0.554","0.622","null","null","0.684","0.343","0.836","-0.012","469","5","2751","null","null"
"duck","duck","D","1","79","3.102","3.37","1.621","-0.454","27","2.875","1.5","-0.768","16","4.091","1.578","11","0.002","duck","null","1","null","1","null","1","4.5","1.699","0.743","36","null","Both","5.04","1.28","26","0.99","4.94","1.31","0.99","18","null","null","null","null","null","Noun","567","1335","767","1902","Yes","Animals","null","null","null","1","flat_h","im","Flat","1","null","Open","1","One Handed","None","1","Head","Mouth","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.046","null","0.153","0.14","0.162","0.209","0.446","0.622","0.602","0.878","0.316","0.657","0.836","-0.193","224","2","446","25","16"
"duck_2","duck_2","K","null","null","3.102","4.087","2.234","-0.134","25","3.5","2.273","-0.073","11","4.538","2.184","14","-0.18","null","0.08","null","0.091","null","0.071","null","5.292","1.732","0.816","24","DUCK","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","601","1568","968","2202","No","null","null","null","null","1","flat_o","imrp","Flat","1","null","Open","1","One Handed","None","1","Head","Mouth","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.046","null","0.153","0.449","0.162","0.209","0.446","0.622","0.602","0.878","0.316","0.657","0.836","-0.06","232","3","null","null","null"
"due","due","H","3","11","3.357","4.185","1.415","0.015","28","4","1.581","-0.139","14","4.357","1.277","14","0.158","null","0.036","null","0.071","null","null","null","2.875","1.191","-0.14","24","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Adjective","467","1401","934","1902","No","null","null","null","null","1","1","i","Fully Open","null","null","Closed","null","Asymmetrical Different Handshape","Straight","null","Hand","Heel","null","1","B","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.005","null","0.457","0.261","0.409","0.791","0.554","0.622","null","null","0.684","0.343","0.836","-0.097","446","7","1282","null","null"
"dumb","dumb","A","2","28","3.379","4.963","1.372","0.618","27","4.846","1.405","0.547","13","5.071","1.385","14","0.685","dumb","null","0.63","null","0.769","null","0.5","4.333","1.807","0.608","30","null","null","2.32","1.4","31","-0.52","2.05","1.39","-0.61","19","null","null","null","null","null","Adjective","434","834","400","1268","No","null","null","null","null","1","a","t","null","null","null","Open","null","One Handed","Straight","null","Head","Forehead","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.039","null","0.457","0.057","null","null","0.554","0.622","null","null","null","0.657","0.836","-0.479","396","10","604","null","null"
"duty","duty","H","3","8","3.415","3.296","1.436","-0.437","28","3.231","1.589","-0.441","14","3.357","1.336","14","-0.433","null","0.036","null","0.071","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","434","1368","934","1835","No","null","1","null","null","1","d","mrp","Curved","null","null","Open","1","Asymmetrical Different Handshape","Straight","1","Hand","Palm Back","null","1","B","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.024","null","0.457","0.002","0.225","0.791","0.446","0.622","0.602","0.878","0.316","0.657","0.836","-0.111","343","null","1283","null","null"
"dye","dye","F","2","92","2.297","4.296","1.382","0.045","27","4.143","1.292","-0.055","14","4.462","1.506","13","0.153","null","null","null","null","null","null","null","2.71","1.553","-0.345","31","TO DYE","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","434","1368","934","1869","No","null","null","null","null","1","f","i","Curved","null","null","Open","1","Symmetrical Or Alternating","Straight","1","Neutral","Neutral","Neutral","null","f","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.457","0.261","0.225","0.791","0.446","0.378","null","null","0.316","0.657","0.836","0.068","491","8","1284","null","null"
"each","each","F","2","59","4.111","5.222","1.528","0.551","27","5.071","1.9","0.457","14","5.385","1.044","13","0.653","null","null","null","null","null","null","null","2.645","1.603","-0.385","31","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Minor","467","1502","1034","1969","Yes","Quantifiers","null","null","null","1","a","t","null","null","null","Open","null","Asymmetrical Same Handshape","Z-shaped","null","Hand","Heel","Hand Away","1","a","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.059","0.25","0.005","0.155","0.034","0.057","null","null","0.554","0.622","null","null","null","0.657","0.836","-0.823","76","1","1328","60","35"
"each_other","each_other","H","2","76","null","4.179","1.442","0.023","28","4.214","1.477","0.067","14","4.143","1.46","14","-0.022","null","null","null","null","null","null","null","2.417","1.767","-0.331","24","each other","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Minor","367","1568","1201","2102","No","null","null","null","null","1","a","t","null","null","null","Open","null","Symmetrical Or Alternating","Circular","1","Neutral","Neutral","Neutral","null","a","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.076","0.057","null","null","0.446","0.378","null","null","null","0.657","0.836","-0.569","138","7","1285","null","null"
"eagle","eagle","D","3","66","2.769","2.846","1.488","-0.727","26","3.063","1.526","-0.588","16","2.5","1.434","10","-0.95","eagle","null","1","null","1","null","1","2.292","1.268","-0.338","24","null","Arbitrary","3.5","1.36","26","0.2","3.44","1.46","0.2","18","null","null","null","null","null","Noun","634","1201","567","1802","No","null","null","null","null","1","bent_l","i","Bent","null","null","Open","null","One Handed","Straight","1","Head","Cheek Nose","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.035","null","0.457","0.261","0.099","0.791","0.446","0.622","null","null","0.684","0.657","0.836","-0.08","319","11","null","null","null"
"eagle_2","eagle_2","K","null","null","2.769","3.913","2.087","-0.14","25","3.667","1.803","0.021","11","4.071","2.303","14","-0.243","null","0.08","null","0.182","null","null","null","1.84","1.344","-0.928","25","EAGLE","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","634","1368","734","1969","No","null","null","null","null","1","r","im","Crossed","null","null","Open","null","One Handed","None","null","Head","Mouth","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.046","null","0.153","0.14","0.012","0.791","0.554","0.622","0.602","0.878","0.684","0.657","0.836","0.124","232","1","null","null","null"
"ear","ear","D","2","71","3.213","2.704","1.353","-0.797","27","2.294","0.985","-1.046","17","3.4","1.647","10","-0.373","null","null","null","null","null","null","null","6.833","0.379","1.816","30","null","Pantomimic","5.85","1.62","26","1.4","6","1.37","1.52","18","null","null","null","null","null","Noun","434","1235","801","1869","Yes","Body Parts","null","null","null","1","baby_o","i","Bent","null","null","Open","1","One Handed","Straight","1","Head","Other","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.025","null","0.457","0.261","0.099","0.791","0.446","0.622","null","null","0.316","0.657","0.836","-0.199","353","6","2752","27","16"
"early","early","G","1","18","3.741","4.04","1.791","-0.126","27","4.545","1.572","0.123","12","3.643","1.906","15","-0.321","null","0.074","null","0.083","null","0.067","null","1.586","1.181","-0.943","29","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Adjective","567","1168","601","1969","No","null","null","null","null","1","open_8","m","Flat","null","null","Open","null","Asymmetrical Different Handshape","Straight","null","Hand","Palm Back","Hand Away","1","B","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.024","0.155","0.457","0.045","0.162","0.791","0.554","0.622","null","null","0.684","0.657","0.836","-0.098","370","4","592","null","null"
"earmuffs","earmuffs","F","3","16","1.255","2.88","1.641","-0.78","27","2.417","1.443","-1.088","14","3.308","1.75","13","-0.496","headphones","0.074","0.68","0.143","0.5","null","0.846","6.382","0.888","1.259","34","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","501","1401","901","2069","No","null","null","null","null","1","curved_5","imrp","Curved","null","null","Open","null","Symmetrical Or Alternating","Straight","1","Head","Other","null","1","curved_5","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.266","0.025","null","0.457","0.449","0.225","0.791","0.446","0.622","0.398","0.878","0.684","0.657","0.836","0.262","380","7","2934","null","null"
"earn","earn","C","3","55","2.894","4.207","1.32","-0.034","29","4.588","1.064","0.066","17","3.667","1.497","12","-0.176","earn","null","0.621","null","0.706","null","0.5","1.618","0.985","-0.634","34","null","Arbitrary","2.79","1.74","30","-0.05","2.81","1.86","-0.09","21","1.81","null","4","1.41","0.06","Verb","434","1001","567","1835","No","null","null","null","null","1","curved_5","imrp","Curved","1","1","Open","1","Asymmetrical Different Handshape","Curved","null","Hand","Finger Front","Palm","1","B","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.015","0.025","0.233","0.449","0.225","0.209","0.554","0.622","0.398","0.122","0.316","0.657","0.836","-0.176","209","null","813","null","null"
"earring","earring","C","3","11","2.143","3.867","1.676","-0.264","30","4.556","1.688","0.037","18","2.833","1.03","12","-0.714","null","null","null","null","null","null","null","6.528","0.696","1.747","36","null","Both","6.47","1.11","30","1.96","6.33","1.24","1.83","21","1.06","0.6","5.1","1.74","0.96","Noun","601","1101","501","2069","Yes","Clothing","null","null","null","1","f","i","Curved","null","null","Open","1","Symmetrical Or Alternating","None","1","Head","Other","null","1","f","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.266","0.025","null","0.153","0.261","0.225","0.791","0.446","0.622","null","null","0.316","0.657","0.836","-0.296","242","null","1289","37","28"
"ears_up","ears_up","E","2","99","null","4.241","1.883","0.048","32","4.357","1.906","0.082","15","4.133","1.922","17","0.017","ears_up","0.094","0.448","0.067","0.5","0.118","0.4","4.138","2.065","0.164","29","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","801","1602","801","1869","No","null","null","null","null","1","s","im","Fully Closed","1","null","Closed","1","Symmetrical Or Alternating","Straight","null","Head","Other","Head Away","null","s","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.266","0.025","0.178","0.457","0.14","0.067","0.209","0.554","0.378","null","0.878","0.316","0.343","0.836","-0.373","388","null","null","null","null"
"earth","earth","C","3","2","3.705","3.6","1.329","-0.402","30","3.889","1.023","-0.357","18","3.167","1.642","12","-0.469","earth","null","0.933","null","0.944","null","0.917","1.417","0.692","-0.738","36","null","Arbitrary","1.97","1.35","30","-0.47","2.1","1.41","-0.45","21","2.31","null","2.95","1.54","-0.38","Noun","467","968","501","1802","No","null","null","null","null","1","open_8","m","Curved","null","null","Open","null","Asymmetrical Different Handshape","None","1","Hand","Palm Back","null","1","B","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.024","null","0.153","0.045","0.225","0.791","0.446","0.622","null","null","0.684","0.657","0.164","-0.568","76","null","784","null","null"
"earthquake","earthquake","A","3","39","2.513","3.64","2.018","-0.175","25","3.733","1.944","-0.086","15","3.5","2.224","10","-0.308","null","null","null","null","null","null","null","3.81","1.806","0.108","21","null","Arbitrary","2.74","1.39","31","-0.31","2.37","1.3","-0.45","19","null","null","null","null","null","Noun","300","1235","934","1502","No","null","null","null","1","2","open_8","m","Flat","null","null","Open","null","Asymmetrical Different Handshape","None","1","Hand","Palm Back","null","1","S","1","s","imrp","FullyClosed","null","null","null","Closed","1","Symmetrical Or Alternating","Straight","null","Neutral","Neutral","Neutral","null","s","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.024","null","0.153","0.045","0.162","0.791","0.446","0.622","null","null","0.684","0.657","0.164","-0.597","76","null","849","null","null"
